State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
Andaman & Nicobar Islands,2019,4,Others,200,263177.59
Andaman & Nicobar Islands,2020,1,Peer-to-peer payments,18324,142332401.79
Andaman & Nicobar Islands,2020,1,Recharge & bill payments,18268,10850414.02
Andaman & Nicobar Islands,2020,1,Merchant payments,4424,7752871.56
Andaman & Nicobar Islands,2020,1,Financial Services,66,208231.73
Andaman & Nicobar Islands,2020,1,Others,216,332393.19
Andaman & Nicobar Islands,2020,2,Recharge & bill payments,38125,17659622.73
Andaman & Nicobar Islands,2020,2,Peer-to-peer payments,20303,141728757.74
Andaman & Nicobar Islands,2020,2,Merchant payments,4004,9236375.74
Andaman & Nicobar Islands,2020,2,Financial Services,175,706932.14
Andaman & Nicobar Islands,2020,2,Others,355,313313.06
Andaman & Nicobar Islands,2020,3,Recharge & bill payments,59310,24756220.88
Andaman & Nicobar Islands,2020,3,Peer-to-peer payments,40697,289078946.73
Andaman & Nicobar Islands,2020,3,Merchant payments,16096,22682992.24
Andaman & Nicobar Islands,2020,3,Financial Services,572,961836.71
Andaman & Nicobar Islands,2020,3,Others,808,539449.77
Andaman & Nicobar Islands,2020,4,Peer-to-peer payments,81439,533316526.18
Andaman & Nicobar Islands,2020,4,Recharge & bill payments,80811,33710030.53
Andaman & Nicobar Islands,2020,4,Merchant payments,59391,56867468.94
Andaman & Nicobar Islands,2020,4,Financial Services,965,1880546.97
Andaman & Nicobar Islands,2020,4,Others,1925,1508083.69
Andaman & Nicobar Islands,2021,1,Peer-to-peer payments,105458,665391395.72
Andaman & Nicobar Islands,2021,1,Recharge & bill payments,84119,37160922.87
Andaman & Nicobar Islands,2021,1,Merchant payments,53090,78606979.06
Andaman & Nicobar Islands,2021,1,Financial Services,884,1469351.09
Andaman & Nicobar Islands,2021,1,Others,1201,1077918.67
Andaman & Nicobar Islands,2021,2,Peer-to-peer payments,132772,748382044.77
Andaman & Nicobar Islands,2021,2,Recharge & bill payments,120911,43691961.26
Andaman & Nicobar Islands,2021,2,Merchant payments,85143,103707408.51
Andaman & Nicobar Islands,2021,2,Financial Services,960,2038521.51
Andaman & Nicobar Islands,2021,2,Others,1628,1327080.06
Andaman & Nicobar Islands,2021,3,Peer-to-peer payments,192321,1077787837.16
Andaman & Nicobar Islands,2021,3,Recharge & bill payments,136010,51243450.86
Andaman & Nicobar Islands,2021,3,Merchant payments,118340,176991328.22
Andaman & Nicobar Islands,2021,3,Financial Services,990,2351013.44
Andaman & Nicobar Islands,2021,3,Others,2103,1650766.13
Andaman & Nicobar Islands,2021,4,Peer-to-peer payments,285778,1544932663.27
Andaman & Nicobar Islands,2021,4,Merchant payments,210164,322842314.62
Andaman & Nicobar Islands,2021,4,Recharge & bill payments,135608,59243518.11
Andaman & Nicobar Islands,2021,4,Financial Services,1718,3137965.17
Andaman & Nicobar Islands,2021,4,Others,2855,2453640.14
Andaman & Nicobar Islands,2022,1,Peer-to-peer payments,342649,1682328505.73
Andaman & Nicobar Islands,2022,1,Merchant payments,284298,370091558.68
Andaman & Nicobar Islands,2022,1,Recharge & bill payments,163401,71300133.66
Andaman & Nicobar Islands,2022,1,Financial Services,1757,2869682.02
Andaman & Nicobar Islands,2022,1,Others,2643,2440321.98
Andaman & Nicobar Islands,2022,2,Merchant payments,449540,510838980.91
Andaman & Nicobar Islands,2022,2,Peer-to-peer payments,437606,2088309073.46
Andaman & Nicobar Islands,2022,2,Recharge & bill payments,179515,82232936.62
Andaman & Nicobar Islands,2022,2,Financial Services,1448,2089862.39
Andaman & Nicobar Islands,2022,2,Others,3108,2449496.71
Andaman & Nicobar Islands,2022,3,Merchant payments,716105,693438186.3
Andaman & Nicobar Islands,2022,3,Peer-to-peer payments,622217,2514535154.56
Andaman & Nicobar Islands,2022,3,Recharge & bill payments,240766,97748065.63
Andaman & Nicobar Islands,2022,3,Financial Services,1814,2166304.98
Andaman & Nicobar Islands,2022,3,Others,3477,2744060.67
Andaman & Nicobar Islands,2022,4,Merchant payments,956536,906365300.66
Andaman & Nicobar Islands,2022,4,Peer-to-peer payments,768758,2961630584.83
Andaman & Nicobar Islands,2022,4,Recharge & bill payments,256050,110037119.67
Andaman & Nicobar Islands,2022,4,Financial Services,2499,3533987.23
Andaman & Nicobar Islands,2022,4,Others,3692,3107412.04
Andaman & Nicobar Islands,2023,1,Merchant payments,1122063,1008821751.0
Andaman & Nicobar Islands,2023,1,Peer-to-peer payments,862347,3299762230.0
Andaman & Nicobar Islands,2023,1,Recharge & bill payments,286024,146338470.0
Andaman & Nicobar Islands,2023,1,Financial Services,2515,3556954.0
Andaman & Nicobar Islands,2023,1,Others,3443,3049182.0
Andaman & Nicobar Islands,2023,2,Merchant payments,1410653,1159905474.0
Andaman & Nicobar Islands,2023,2,Peer-to-peer payments,970525,3664415887.0
Andaman & Nicobar Islands,2023,2,Recharge & bill payments,320922,158455723.0
Andaman & Nicobar Islands,2023,2,Financial Services,2158,4161814.0
Andaman & Nicobar Islands,2023,2,Others,3517,3405338.0
Andaman & Nicobar Islands,2023,3,Merchant payments,1657848,1289780198.0
Andaman & Nicobar Islands,2023,3,Peer-to-peer payments,1111211,3757627272.0
Andaman & Nicobar Islands,2023,3,Recharge & bill payments,323935,157992380.0
Andaman & Nicobar Islands,2023,3,Financial Services,2199,3850023.0
Andaman & Nicobar Islands,2023,3,Others,3183,2346918.0
Andaman & Nicobar Islands,2023,4,Merchant payments,2039888,1653303276.0
Andaman & Nicobar Islands,2023,4,Peer-to-peer payments,1321796,4420459049.0
Andaman & Nicobar Islands,2023,4,Recharge & bill payments,327460,185028400.0
Andaman & Nicobar Islands,2023,4,Financial Services,3276,7836466.0
Andaman & Nicobar Islands,2023,4,Others,3363,2925308.0
Andaman & Nicobar Islands,2024,1,Merchant payments,2401038,1887811915.0
Andaman & Nicobar Islands,2024,1,Peer-to-peer payments,1436380,4771886847.0
Andaman & Nicobar Islands,2024,1,Recharge & bill payments,341224,188939343.0
Andaman & Nicobar Islands,2024,1,Financial Services,3761,7962745.0
Andaman & Nicobar Islands,2024,1,Others,2517,2550985.0
Andaman & Nicobar Islands,2024,2,Merchant payments,2769052,2053269052.0
Andaman & Nicobar Islands,2024,2,Peer-to-peer payments,1513157,5033712226.0
Andaman & Nicobar Islands,2024,2,Recharge & bill payments,365214,196987648.0
Andaman & Nicobar Islands,2024,2,Financial Services,3371,9550750.0
Andaman & Nicobar Islands,2024,2,Others,2430,2260654.0
Andaman & Nicobar Islands,2024,3,Merchant payments,3158032,2132361939.0
Andaman & Nicobar Islands,2024,3,Peer-to-peer payments,1733054,5305660809.0
Andaman & Nicobar Islands,2024,3,Recharge & bill payments,382130,213105223.0
Andaman & Nicobar Islands,2024,3,Financial Services,4169,10756400.0
Andaman & Nicobar Islands,2024,3,Others,1865,1960638.0
Andaman & Nicobar Islands,2024,4,Merchant payments,3666060,2546601178.0
Andaman & Nicobar Islands,2024,4,Peer-to-peer payments,1993301,6142805445.0
Andaman & Nicobar Islands,2024,4,Recharge & bill payments,389318,214912264.0
Andaman & Nicobar Islands,2024,4,Financial Services,12889,12789955.0
Andaman & Nicobar Islands,2024,4,Others,2332,3835931.0
Andhra Pradesh,2018,1,Recharge & bill payments,5027448,892293975.67
Andhra Pradesh,2018,1,Peer-to-peer payments,3049646,10524250283.18
Andhra Pradesh,2018,1,Merchant payments,362672,247297640.24
Andhra Pradesh,2018,1,Financial Services,204305,44808449.76
Andhra Pradesh,2018,1,Others,395514,287626042.97
Andhra Pradesh,2018,2,Recharge & bill payments,6456387,1598591488.49
Andhra Pradesh,2018,2,Peer-to-peer payments,4745000,20451493098.9
Andhra Pradesh,2018,2,Merchant payments,604847,436785223.86
Andhra Pradesh,2018,2,Financial Services,225621,68952114.81
Andhra Pradesh,2018,2,Others,322063,328092346.58
Andhra Pradesh,2018,3,Peer-to-peer payments,16129591,32738630444.67
Andhra Pradesh,2018,3,Recharge & bill payments,7542005,1949098146.89
Andhra Pradesh,2018,3,Merchant payments,1225416,685277254.51
Andhra Pradesh,2018,3,Financial Services,380324,60790077.57
Andhra Pradesh,2018,3,Others,348725,284248675.57
Andhra Pradesh,2018,4,Peer-to-peer payments,17580086,47011639726.14
Andhra Pradesh,2018,4,Recharge & bill payments,9767083,2418164314.47
Andhra Pradesh,2018,4,Merchant payments,2622131,1671585888.57
Andhra Pradesh,2018,4,Financial Services,400837,57178116.4
Andhra Pradesh,2018,4,Others,389411,315211361.26
Andhra Pradesh,2019,1,Peer-to-peer payments,37420988,77524329742.26
Andhra Pradesh,2019,1,Recharge & bill payments,14022264,3480641602.38
Andhra Pradesh,2019,1,Merchant payments,5043682,2423536770.37
Andhra Pradesh,2019,1,Financial Services,416325,47150177.53
Andhra Pradesh,2019,1,Others,361263,284937624.54
Andhra Pradesh,2019,2,Peer-to-peer payments,32494402,103924649232.47
Andhra Pradesh,2019,2,Recharge & bill payments,14093964,4708345387.91
Andhra Pradesh,2019,2,Merchant payments,9226537,4613405202.68
Andhra Pradesh,2019,2,Financial Services,145310,26626696.77
Andhra Pradesh,2019,2,Others,448802,361492238.4
Andhra Pradesh,2019,3,Peer-to-peer payments,39023491,124338645329.52
Andhra Pradesh,2019,3,Recharge & bill payments,20147629,6893984676.6
Andhra Pradesh,2019,3,Merchant payments,16581787,7887394038.07
Andhra Pradesh,2019,3,Financial Services,122270,29778183.03
Andhra Pradesh,2019,3,Others,413437,298142027.59
Andhra Pradesh,2019,4,Peer-to-peer payments,57181511,178893550050.69
Andhra Pradesh,2019,4,Merchant payments,25122370,13476303367.5
Andhra Pradesh,2019,4,Recharge & bill payments,24469888,8335168605.69
Andhra Pradesh,2019,4,Financial Services,105662,26796571.75
Andhra Pradesh,2019,4,Others,338672,216496893.16
Andhra Pradesh,2020,1,Peer-to-peer payments,65452143,223088554055.05
Andhra Pradesh,2020,1,Merchant payments,31408022,18603161784.5
Andhra Pradesh,2020,1,Recharge & bill payments,30449644,10813530777.97
Andhra Pradesh,2020,1,Financial Services,75238,43739133.17
Andhra Pradesh,2020,1,Others,292310,188228538.37
Andhra Pradesh,2020,2,Peer-to-peer payments,73609921,262731724130.79
Andhra Pradesh,2020,2,Recharge & bill payments,41013987,16991006436.57
Andhra Pradesh,2020,2,Merchant payments,29976765,22625596525.44
Andhra Pradesh,2020,2,Financial Services,140941,145274999.16
Andhra Pradesh,2020,2,Others,176241,90087654.6
Andhra Pradesh,2020,3,Peer-to-peer payments,106791894,406461788252.32
Andhra Pradesh,2020,3,Merchant payments,54055557,40739580213.86
Andhra Pradesh,2020,3,Recharge & bill payments,43500067,19475104674.83
Andhra Pradesh,2020,3,Financial Services,243088,256074924.72
Andhra Pradesh,2020,3,Others,312329,151582519.18
Andhra Pradesh,2020,4,Peer-to-peer payments,152003791,566639138543.77
Andhra Pradesh,2020,4,Merchant payments,86581460,66654048149.95
Andhra Pradesh,2020,4,Recharge & bill payments,46810304,20936337211.56
Andhra Pradesh,2020,4,Financial Services,265470,305168772.46
Andhra Pradesh,2020,4,Others,457527,306853355.59
Andhra Pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0
Andhra Pradesh,2021,1,Merchant payments,97920281,70813192713.43
Andhra Pradesh,2021,1,Recharge & bill payments,41940689,20546424964.14
Andhra Pradesh,2021,1,Financial Services,225355,270313028.48
Andhra Pradesh,2021,1,Others,347907,272546457.55
Andhra Pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.44
Andhra Pradesh,2021,2,Merchant payments,112875274,88512429436.91
Andhra Pradesh,2021,2,Recharge & bill payments,49626902,24646800345.11
Andhra Pradesh,2021,2,Financial Services,243237,265483044.4
Andhra Pradesh,2021,2,Others,406842,308302224.39
Andhra Pradesh,2021,3,Peer-to-peer payments,221280317,837841124664.31
Andhra Pradesh,2021,3,Merchant payments,158290953,118164377968.17
Andhra Pradesh,2021,3,Recharge & bill payments,51702350,27511344958.24
Andhra Pradesh,2021,3,Financial Services,211171,297239697.83
Andhra Pradesh,2021,3,Others,547759,403948275.57
Andhra Pradesh,2021,4,Peer-to-peer payments,262006450,971269765249.13
Andhra Pradesh,2021,4,Merchant payments,207538904,152883933596.54
Andhra Pradesh,2021,4,Recharge & bill payments,51762842,31232784713.99
Andhra Pradesh,2021,4,Financial Services,243951,332740108.66
Andhra Pradesh,2021,4,Others,701856,545223415.66
Andhra Pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.48
Andhra Pradesh,2022,1,Merchant payments,242031836,169419685917.2
Andhra Pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83
Andhra Pradesh,2022,1,Financial Services,231651,324358965.12
Andhra Pradesh,2022,1,Others,627694,474382234.25
Andhra Pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.71
Andhra Pradesh,2022,2,Merchant payments,292530048,205433660654.21
Andhra Pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06
Andhra Pradesh,2022,2,Financial Services,192751,245783011.04
Andhra Pradesh,2022,2,Others,441925,357036084.91
Andhra Pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.74
Andhra Pradesh,2022,3,Merchant payments,291033653,202910820650.08
Andhra Pradesh,2022,3,Recharge & bill payments,52467708,41438764826.2
Andhra Pradesh,2022,3,Financial Services,187190,239347241.55
Andhra Pradesh,2022,3,Others,362484,323951101.57
Andhra Pradesh,2022,4,Merchant payments,321632104,211898851397.1
Andhra Pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.01
Andhra Pradesh,2022,4,Recharge & bill payments,52098850,41986837706.48
Andhra Pradesh,2022,4,Financial Services,206459,250596592.06
Andhra Pradesh,2022,4,Others,345658,339211363.0
Andhra Pradesh,2023,1,Merchant payments,540680395,311606731877.0
Andhra Pradesh,2023,1,Peer-to-peer payments,514931308,1857818168755.0
Andhra Pradesh,2023,1,Recharge & bill payments,89143939,78817989795.0
Andhra Pradesh,2023,1,Financial Services,288150,331233097.0
Andhra Pradesh,2023,1,Others,488672,477193006.0
Andhra Pradesh,2023,2,Merchant payments,634303064,349602824539.0
Andhra Pradesh,2023,2,Peer-to-peer payments,573455382,2067288068882.0
Andhra Pradesh,2023,2,Recharge & bill payments,97202487,88352183038.0
Andhra Pradesh,2023,2,Financial Services,316533,386071375.0
Andhra Pradesh,2023,2,Others,379498,409939082.0
Andhra Pradesh,2023,3,Merchant payments,750265405,395042164275.0
Andhra Pradesh,2023,3,Peer-to-peer payments,623202203,2163464730936.0
Andhra Pradesh,2023,3,Recharge & bill payments,101000645,94077774967.0
Andhra Pradesh,2023,3,Financial Services,361584,466791218.0
Andhra Pradesh,2023,3,Others,334566,362636702.0
Andhra Pradesh,2023,4,Merchant payments,822516631,427677236042.0
Andhra Pradesh,2023,4,Peer-to-peer payments,673002314,2270766948881.0
Andhra Pradesh,2023,4,Recharge & bill payments,100733697,103186953776.0
Andhra Pradesh,2023,4,Financial Services,431705,535202901.0
Andhra Pradesh,2023,4,Others,303079,348636223.0
Andhra Pradesh,2024,1,Merchant payments,926373997,468462542792.0
Andhra Pradesh,2024,1,Peer-to-peer payments,721764113,2436665736212.0
Andhra Pradesh,2024,1,Recharge & bill payments,106564415,106646957337.0
Andhra Pradesh,2024,1,Financial Services,427720,634184211.0
Andhra Pradesh,2024,1,Others,298240,316249197.0
Andhra Pradesh,2024,2,Merchant payments,1068247800,526363160284.0
Andhra Pradesh,2024,2,Peer-to-peer payments,748553253,2545133436133.0
Andhra Pradesh,2024,2,Recharge & bill payments,112475183,109301693605.0
Andhra Pradesh,2024,2,Financial Services,558924,799915709.0
Andhra Pradesh,2024,2,Others,287140,324214357.0
Andhra Pradesh,2024,3,Merchant payments,1186825685,569822447748.0
Andhra Pradesh,2024,3,Peer-to-peer payments,802972632,2555369227206.0
Andhra Pradesh,2024,3,Recharge & bill payments,100644574,100291968047.0
Andhra Pradesh,2024,3,Financial Services,633983,857014703.0
Andhra Pradesh,2024,3,Others,294488,304949785.0
Andhra Pradesh,2024,4,Merchant payments,1319061337,622805238380.0
Andhra Pradesh,2024,4,Peer-to-peer payments,872917507,2723665407515.0
Andhra Pradesh,2024,4,Recharge & bill payments,101888917,104194996949.0
Andhra Pradesh,2024,4,Financial Services,2255721,977916755.0
Andhra Pradesh,2024,4,Others,322062,372009367.0
Arunachal Pradesh,2018,1,Recharge & bill payments,28729,5184132.51
Arunachal Pradesh,2018,1,Peer-to-peer payments,13320,82889682.72
Arunachal Pradesh,2018,1,Merchant payments,1042,2420374.19
Arunachal Pradesh,2018,1,Financial Services,416,58893.76
Arunachal Pradesh,2018,1,Others,1990,1834252.82
Arunachal Pradesh,2018,2,Recharge & bill payments,50700,10468878.54
Arunachal Pradesh,2018,2,Peer-to-peer payments,26477,181576281.19
Arunachal Pradesh,2018,2,Merchant payments,2378,4718953.44
Arunachal Pradesh,2018,2,Financial Services,559,363761.8
Arunachal Pradesh,2018,2,Others,2043,1842317.37
Arunachal Pradesh,2018,3,Recharge & bill payments,74122,15997565.91
Arunachal Pradesh,2018,3,Peer-to-peer payments,49740,308106303.45
Arunachal Pradesh,2018,3,Merchant payments,4738,5505694.57
Arunachal Pradesh,2018,3,Financial Services,507,72133.85
Arunachal Pradesh,2018,3,Others,2039,2044708.97
Arunachal Pradesh,2018,4,Recharge & bill payments,97751,20662691.88
Arunachal Pradesh,2018,4,Peer-to-peer payments,68169,468831493.23
Arunachal Pradesh,2018,4,Merchant payments,7726,11998974.1
Arunachal Pradesh,2018,4,Financial Services,561,100597.9
Arunachal Pradesh,2018,4,Others,2222,2446271.97
Arunachal Pradesh,2019,1,Recharge & bill payments,121303,26796895.0
Arunachal Pradesh,2019,1,Peer-to-peer payments,93494,568554821.45
Arunachal Pradesh,2019,1,Merchant payments,9214,11727218.4
Arunachal Pradesh,2019,1,Financial Services,256,140622.87
Arunachal Pradesh,2019,1,Others,2239,2730548.6
Arunachal Pradesh,2019,2,Recharge & bill payments,131988,30420803.41
Arunachal Pradesh,2019,2,Peer-to-peer payments,106527,704237943.41
Arunachal Pradesh,2019,2,Merchant payments,16828,13955724.13
Arunachal Pradesh,2019,2,Financial Services,267,160660.88
Arunachal Pradesh,2019,2,Others,3046,3880742.52
Arunachal Pradesh,2019,3,Recharge & bill payments,216228,50946104.94
Arunachal Pradesh,2019,3,Peer-to-peer payments,133484,841037395.25
Arunachal Pradesh,2019,3,Merchant payments,16900,17178248.07
Arunachal Pradesh,2019,3,Financial Services,864,64089.11
Arunachal Pradesh,2019,3,Others,2758,3419197.42
Arunachal Pradesh,2019,4,Recharge & bill payments,259183,63516906.09
Arunachal Pradesh,2019,4,Peer-to-peer payments,177833,1100137447.93
Arunachal Pradesh,2019,4,Merchant payments,19769,23192271.69
Arunachal Pradesh,2019,4,Financial Services,314,305379.8
Arunachal Pradesh,2019,4,Others,2376,3421174.01
Arunachal Pradesh,2020,1,Recharge & bill payments,329834,86011654.77
Arunachal Pradesh,2020,1,Peer-to-peer payments,203429,1263912288.41
Arunachal Pradesh,2020,1,Merchant payments,31181,28553052.13
Arunachal Pradesh,2020,1,Financial Services,470,337812.95
Arunachal Pradesh,2020,1,Others,2261,2943873.07
Arunachal Pradesh,2020,2,Recharge & bill payments,522495,145198528.23
Arunachal Pradesh,2020,2,Peer-to-peer payments,247861,1630654426.04
Arunachal Pradesh,2020,2,Merchant payments,35169,46446966.61
Arunachal Pradesh,2020,2,Financial Services,1310,2655507.7
Arunachal Pradesh,2020,2,Others,1939,1761404.4
Arunachal Pradesh,2020,3,Recharge & bill payments,514907,153463816.21
Arunachal Pradesh,2020,3,Peer-to-peer payments,370418,2361603431.38
Arunachal Pradesh,2020,3,Merchant payments,72736,88145178.69
Arunachal Pradesh,2020,3,Financial Services,1761,4030599.92
Arunachal Pradesh,2020,3,Others,3005,2695539.36
Arunachal Pradesh,2020,4,Peer-to-peer payments,522019,3254744938.41
Arunachal Pradesh,2020,4,Recharge & bill payments,513895,152389181.22
Arunachal Pradesh,2020,4,Merchant payments,167387,156682926.02
Arunachal Pradesh,2020,4,Financial Services,1749,2391651.88
Arunachal Pradesh,2020,4,Others,4079,4055324.32
Arunachal Pradesh,2021,1,Peer-to-peer payments,566209,3460488558.94
Arunachal Pradesh,2021,1,Recharge & bill payments,450649,142358376.9
Arunachal Pradesh,2021,1,Merchant payments,155966,204958020.09
Arunachal Pradesh,2021,1,Financial Services,1558,2672460.47
Arunachal Pradesh,2021,1,Others,3074,3301662.61
Arunachal Pradesh,2021,2,Peer-to-peer payments,762946,4000960152.08
Arunachal Pradesh,2021,2,Recharge & bill payments,556680,165579844.25
Arunachal Pradesh,2021,2,Merchant payments,243375,283709438.54
Arunachal Pradesh,2021,2,Financial Services,1582,2761076.79
Arunachal Pradesh,2021,2,Others,3755,3415105.34
Arunachal Pradesh,2021,3,Peer-to-peer payments,986088,5033603845.03
Arunachal Pradesh,2021,3,Recharge & bill payments,600102,187390578.3
Arunachal Pradesh,2021,3,Merchant payments,314658,449869060.78
Arunachal Pradesh,2021,3,Financial Services,1934,3348547.83
Arunachal Pradesh,2021,3,Others,4185,3912143.35
Arunachal Pradesh,2021,4,Peer-to-peer payments,1227616,6022733378.12
Arunachal Pradesh,2021,4,Recharge & bill payments,633248,207784816.33
Arunachal Pradesh,2021,4,Merchant payments,521447,704195694.99
Arunachal Pradesh,2021,4,Financial Services,2386,3933557.28
Arunachal Pradesh,2021,4,Others,5901,4862905.89
Arunachal Pradesh,2022,1,Peer-to-peer payments,1403584,6670641250.46
Arunachal Pradesh,2022,1,Merchant payments,720803,917155358.72
Arunachal Pradesh,2022,1,Recharge & bill payments,670576,231933129.0
Arunachal Pradesh,2022,1,Financial Services,3053,3359625.79
Arunachal Pradesh,2022,1,Others,6052,5002264.11
Arunachal Pradesh,2022,2,Peer-to-peer payments,1751568,7627061474.69
Arunachal Pradesh,2022,2,Merchant payments,1108353,1255513517.36
Arunachal Pradesh,2022,2,Recharge & bill payments,688770,241162643.19
Arunachal Pradesh,2022,2,Financial Services,2466,4063469.1
Arunachal Pradesh,2022,2,Others,5768,3864269.88
Arunachal Pradesh,2022,3,Peer-to-peer payments,1967086,7365427284.27
Arunachal Pradesh,2022,3,Merchant payments,1316326,1413247143.49
Arunachal Pradesh,2022,3,Recharge & bill payments,649322,238448083.81
Arunachal Pradesh,2022,3,Financial Services,1997,4763324.78
Arunachal Pradesh,2022,3,Others,4687,3224948.7
Arunachal Pradesh,2022,4,Peer-to-peer payments,2251135,7768088687.68
Arunachal Pradesh,2022,4,Merchant payments,1704968,1669602212.92
Arunachal Pradesh,2022,4,Recharge & bill payments,669151,239412553.61
Arunachal Pradesh,2022,4,Financial Services,2617,3785469.4
Arunachal Pradesh,2022,4,Others,4838,4020773.9
Arunachal Pradesh,2023,1,Peer-to-peer payments,3879583,13170741327.0
Arunachal Pradesh,2023,1,Merchant payments,2922784,2802762028.0
Arunachal Pradesh,2023,1,Recharge & bill payments,1229475,409663161.0
Arunachal Pradesh,2023,1,Financial Services,4142,6310412.0
Arunachal Pradesh,2023,1,Others,6841,5101526.0
Arunachal Pradesh,2023,2,Peer-to-peer payments,4883817,15695323405.0
Arunachal Pradesh,2023,2,Merchant payments,4091876,3651614280.0
Arunachal Pradesh,2023,2,Recharge & bill payments,1374689,447452168.0
Arunachal Pradesh,2023,2,Financial Services,3392,5815474.0
Arunachal Pradesh,2023,2,Others,6714,5493337.0
Arunachal Pradesh,2023,3,Peer-to-peer payments,5889357,16351752522.0
Arunachal Pradesh,2023,3,Merchant payments,5451474,4277046551.0
Arunachal Pradesh,2023,3,Recharge & bill payments,1450780,482412481.0
Arunachal Pradesh,2023,3,Financial Services,4825,11365670.0
Arunachal Pradesh,2023,3,Others,5997,4813862.0
Arunachal Pradesh,2023,4,Peer-to-peer payments,6678381,18554712209.0
Arunachal Pradesh,2023,4,Merchant payments,6435278,5043099494.0
Arunachal Pradesh,2023,4,Recharge & bill payments,1491471,515181105.0
Arunachal Pradesh,2023,4,Financial Services,5573,11079378.0
Arunachal Pradesh,2023,4,Others,7039,4727608.0
Arunachal Pradesh,2024,1,Merchant payments,7491171,5669482843.0
Arunachal Pradesh,2024,1,Peer-to-peer payments,7238315,19793142980.0
Arunachal Pradesh,2024,1,Recharge & bill payments,1664938,568014875.0
Arunachal Pradesh,2024,1,Financial Services,6408,13072238.0
Arunachal Pradesh,2024,1,Others,5582,3331540.0
Arunachal Pradesh,2024,2,Merchant payments,9567105,6815204405.0
Arunachal Pradesh,2024,2,Peer-to-peer payments,8120757,22271137791.0
Arunachal Pradesh,2024,2,Recharge & bill payments,1776684,595957635.0
Arunachal Pradesh,2024,2,Financial Services,7896,20769976.0
Arunachal Pradesh,2024,2,Others,5930,3281823.0
Arunachal Pradesh,2024,3,Merchant payments,12464040,7709848647.0
Arunachal Pradesh,2024,3,Peer-to-peer payments,10083155,23214155044.0
Arunachal Pradesh,2024,3,Recharge & bill payments,1886589,653172013.0
Arunachal Pradesh,2024,3,Financial Services,8170,21220623.0
Arunachal Pradesh,2024,3,Others,5188,3560378.0
